Features,Label
"[-2.70699432e+02  1.12521461e+02 -4.90082855e+01  1.83714180e+01
 -1.27719145e+01  7.18910742e+00  7.32827425e-01 -2.68067989e+01
  5.27829599e+00  4.16835642e+00  3.19717264e+00  2.99704027e+00
 -1.10316019e+01  9.62072058e-02  2.75080437e+00  1.92692604e-03
  5.20518311e-02  3.04925135e+03  2.76589861e+03  7.15257360e+03
  2.58502347e-04  5.29283881e-02]",1
"[-3.87639404e+02  1.12270493e+02  1.21344318e+01 -1.14602194e+01
 -1.53795614e+01  3.60646009e-01 -1.88886130e+00 -9.60842800e+00
 -2.88422585e+00 -1.14077783e+00 -1.35630167e+00  7.18250370e+00
  5.22446156e+00  3.17841752e-02  2.56269903e+00  3.82405627e-03
  1.72056615e-02  2.28138068e+03  3.33739239e+03  6.68237670e+03
  8.14511732e-04  4.29156199e-02]",0
"[-2.63018372e+02  1.31766083e+02 -5.22362709e+01  1.88568726e+01
 -2.27469234e+01  5.42965937e+00 -7.69063807e+00 -3.10805321e+01
 -4.41043711e+00 -3.67474270e+00 -3.87531662e+00  9.77869555e-02
 -6.58059168e+00  7.16547092e-02  4.01411724e+00  3.82200829e-03
  3.87841224e-02  2.60415245e+03  2.60419693e+03  6.52157443e+03
  2.36847322e-04  7.91895911e-02]",1
"[-2.51562820e+02  1.62009201e+02  1.22262249e+01  7.32331216e-01
 -1.66640472e+01  3.53108239e+00 -1.04261577e+00 -4.63922882e+00
 -1.62034500e+00  8.40259254e-01  1.50298035e+00  3.26378077e-01
  1.94360495e+00  2.44170719e-02  1.67389218e+01  2.24198078e-02
  1.32098976e-02  1.22276493e+03  2.01064490e+03  2.69672679e+03
  2.13558615e-05  1.54549509e-01]",0
"[-3.06365753e+02  1.11527878e+02 -5.46430168e+01  9.54941368e+00
 -2.30629025e+01  1.81963336e+00 -4.78501415e+00 -2.55650368e+01
 -7.31982183e+00 -8.45774746e+00 -5.96736097e+00 -8.85466671e+00
 -7.71162271e+00  7.46686609e-02  3.13033173e+00  2.59532986e-03
  4.03927390e-02  2.67677059e+03  2.60418024e+03  6.53192630e+03
  3.46984656e-04  6.26202449e-02]",1
"[-2.27443741e+02  2.09849945e+02 -7.62351151e+01  3.19527187e+01
  1.23733139e+01 -2.82665825e+00 -2.28885403e+01  1.68783531e+01
  1.61277637e+01 -2.03537960e+01 -7.38217878e+00  1.14108896e+01
 -9.30793285e+00  9.72454618e-02  2.66364420e+00  2.42381820e-03
  5.26341432e-02  2.04134717e+03  1.81450575e+03  3.67574100e+03
  4.20879842e-05  8.06906745e-02]",0
"[-2.61106415e+02  5.44887619e+01 -7.02191162e+01  1.91317883e+01
 -2.22549629e+01  1.51241121e+01 -9.51440525e+00 -9.44701099e+00
 -1.63352222e+01  1.21491356e+01 -2.91993713e+00 -2.82894410e-02
 -5.10218525e+00  9.54819313e-02  1.35801163e+01  6.11364156e-03
  5.17023360e-02  3.59244691e+03  2.94902032e+03  7.65097269e+03
  3.56511362e-02  1.40777320e-01]",1
"[-1.79164810e+02  2.00671021e+02 -7.33877335e+01  3.01273994e+01
  2.51921582e+00  3.10171413e+00 -2.01171379e+01  4.01945877e+00
  2.10235825e+01 -1.15289221e+01 -8.59343052e+00  7.06822455e-01
 -1.63127708e+00  9.39817267e-02  5.82623983e+00  6.85690454e-03
  5.08727165e-02  2.06593972e+03  1.89443091e+03  3.71500840e+03
  6.07476941e-05  1.16627663e-01]",0
"[-3.80301544e+02  5.02223091e+01 -1.43761702e+01  1.35499477e+00
 -9.37853622e+00 -5.46953058e+00 -1.10174894e+01 -1.30912771e+01
 -1.13376627e+01  8.77540207e+00 -7.38757467e+00 -2.12613893e+00
  6.43268466e-01  2.90952427e-02  4.39416036e+00  2.93808814e-03
  1.57466730e-02  1.31677868e+03  1.52924793e+03  3.39288960e+03
  4.42846179e-01  5.70904724e-02]",1
"[-2.19062302e+02  1.65728607e+02 -3.83797684e+01  2.48112545e+01
  7.35895681e+00  2.76626015e+01  2.94720435e+00  3.09504604e+01
 -4.06034529e-01  7.81146383e+00  7.44204950e+00  8.69410610e+00
 -1.04328692e+00  2.66365322e-02  2.69662756e+00  5.01711112e-03
  1.44134160e-02  1.90619537e+03  2.78588471e+03  4.76957131e+03
  1.03345934e-04  8.23476389e-02]",0
